id,u,g,r,i,z,run,rerun,camcol,field
65,18.26399,16.60347,15.67188,15.20039,14.83964,3031,301,6,115
66,17.49406,16.03226,15.49567,15.30565,15.23303,2662,301,1,103
67,19.32267,18.95214,18.67008,18.51496,18.46486,5038,301,2,100
68,19.34476,17.78754,17.1976,16.99404,16.8842,6162,301,4,98
69,18.97983,17.74702,17.22573,16.90549,16.75679,2830,301,5,400
70,18.21108,18.04439,17.91621,17.7472,18.03473,3893,301,2,252
71,16.50292,15.25844,14.8565,14.72485,14.67439,5972,301,1,164
72,18.26893,17.35262,17.11444,17.0186,17.0135,756,301,1,491
73,17.53033,15.86783,15.23632,15.0283,14.92513,6585,301,1,118
74,19.27146,17.15467,16.05494,15.54057,15.20433,5396,301,2,168
75,17.62218,16.0876,15.2962,14.90548,14.602,1458,301,5,707
76,18.80803,18.60795,20.388,19.9982,22.58809,5972,301,2,172
77,19.52305,17.66572,16.64427,16.22343,15.89963,3705,301,4,181
78,18.74813,16.51861,15.58911,18.48171,14.99037,3716,301,4,238
79,18.87672,18.33759,17.89272,17.46902,17.47316,4504,301,4,170
80,16.33819,14.89165,14.39358,14.24511,14.18707,4682,301,3,207
81,19.09265,17.2763,16.42608,16.04511,15.73617,3704,301,2,153
82,18.69696,17.85804,17.34492,17.09667,16.94961,4649,301,5,332
83,19.03342,17.14027,16.2436,15.83296,15.49424,2247,301,3,158
84,18.00832,16.83256,16.44511,16.31481,16.25952,752,301,1,374
85,19.41689,18.23429,17.76388,17.47138,17.29581,5061,301,2,394
86,18.52494,17.64128,17.28456,17.13756,17.08406,5323,301,3,38
87,18.76458,17.34501,16.41536,15.96643,15.66716,8108,301,5,129
88,18.21515,17.22412,16.76997,16.51307,16.4311,2391,301,1,167
89,19.37538,17.84384,17.07943,16.65869,16.36067,2126,301,5,389
90,19.45499,17.8129,16.63149,16.15517,15.80637,2243,301,1,340
91,19.00622,17.83538,17.43801,17.23536,17.09628,2125,301,6,70
92,18.58169,16.78598,15.85279,15.3774,14.99744,3705,301,4,152
93,,,,,,2986,301,2,318
94,19.29961,18.10923,17.19051,16.81992,16.53908,5112,301,4,444
95,17.82661,16.70151,16.88321,17.04478,17.18958,2830,301,1,388
96,17.27382,16.10184,15.71961,15.57733,15.54553,3964,301,3,94
97,19.37819,17.99847,17.18704,16.72613,16.44783,5322,301,5,192
98,19.46458,18.92236,18.83081,18.91748,18.73088,7727,301,6,79
99,19.20361,18.04738,17.52877,17.2637,17.06077,4678,301,3,145
100,19.47586,17.41961,16.40032,15.93325,15.55842,3704,301,1,160
101,18.85221,17.67628,17.06365,16.72606,16.50735,3647,301,3,64
102,19.00954,17.92028,17.34336,17.1254,16.97147,5415,301,4,45
103,19.03133,19.16829,19.4924,19.77372,19.92015,3187,301,1,34
104,19.5934,18.18828,17.49215,17.06998,16.81035,2247,301,6,318
105,19.06031,18.93683,18.66092,18.68645,18.81824,4570,301,1,127
106,19.38296,17.72771,17.05561,16.6463,16.41885,2964,301,4,165
107,19.34142,17.8031,16.90739,16.47969,16.14728,5322,301,5,71
108,19.16299,17.92227,17.33622,17.01591,16.72094,2334,301,6,34
109,18.84182,17.61624,17.11724,16.80418,16.68042,5061,301,3,318
110,18.14893,16.87425,16.26581,15.95893,15.71593,4849,301,4,832
111,19.56493,18.04447,17.50027,17.3049,17.20577,2662,301,1,39
112,19.28141,18.18491,17.67702,17.33963,17.14017,4335,301,4,113
113,19.33534,17.84996,17.29977,17.06497,16.94221,6782,301,6,78
114,19.23563,17.61522,17.00029,16.78972,16.69378,4887,301,6,183
115,17.86812,16.55358,15.91355,15.51688,15.27833,1739,301,1,117
116,18.19998,17.24208,16.90293,16.77218,16.71261,2125,301,4,82
117,18.86555,17.92353,17.60937,17.4933,17.44041,7912,301,4,195
118,17.67274,16.7465,16.47994,16.36244,16.34571,4263,301,3,235
119,19.27062,19.24683,19.12002,19.14738,18.94892,3842,301,4,97
120,19.09271,18.02087,17.56679,17.15742,16.99969,2140,301,5,17
121,19.11811,17.17164,16.24839,15.78982,15.44325,3958,301,4,177
122,18.61256,17.62255,17.17749,16.9363,16.67428,4649,301,3,54
123,18.36012,17.12556,16.72549,16.50355,16.32071,1666,301,5,292
124,19.50537,18.6403,18.36134,18.27139,18.23447,3841,301,3,295
125,19.12366,17.38099,16.62565,16.28226,16.0804,3893,301,1,162
126,18.76585,17.35027,16.58782,16.15268,15.88896,2125,301,1,153
127,18.78979,17.4279,16.68736,16.28967,15.9906,752,301,4,289
128,,,,,,3965,301,6,199
129,19.18523,17.96585,17.52752,17.22593,17.09887,5061,301,4,311
130,18.89189,16.93871,15.97026,15.52751,15.15833,3919,301,2,200
131,17.93082,16.51024,15.91064,15.61725,15.51952,5322,301,1,55
132,19.14678,18.95417,18.64288,18.56523,18.66503,5112,301,1,404
133,19.10093,17.15819,16.21445,15.75294,15.42523,4233,301,5,30
134,16.61009,16.23779,15.21227,15.11882,15.10318,6597,301,4,138
135,19.53766,18.29477,17.76138,17.42694,17.2089,4576,301,1,353
136,19.22735,18.15251,17.73294,17.46182,17.33928,752,301,2,380
137,17.92281,16.02666,15.1701,14.75386,14.43544,4649,301,4,379
138,18.17091,16.77673,16.10586,15.71109,15.48655,4874,301,1,672
139,17.35031,15.56305,14.91139,14.69483,14.58975,4646,301,4,91
140,17.20361,15.89685,15.39696,15.16865,15.05002,4134,301,1,184
141,19.12943,17.22724,16.3314,15.93661,15.62256,5183,301,1,636
142,17.61078,16.20322,15.50945,15.16769,14.84669,3804,301,2,144
143,19.20607,17.40478,16.54867,16.13026,15.7845,6121,301,4,138
144,18.82783,17.41065,16.65723,16.25004,16.01632,3918,301,6,154
145,19.24767,18.24859,17.567,17.16571,16.97678,3893,301,1,197
146,19.31933,17.52839,16.56421,16.1439,15.79205,8105,301,3,50
147,17.86046,16.16893,15.39101,15.02529,14.7547,2566,301,4,232
148,19.26368,17.47317,16.57573,16.14317,15.83267,5308,301,3,88
149,19.31867,18.34659,17.9396,17.76478,17.6833,6573,301,6,221
150,18.60477,17.03308,16.2664,15.85877,15.4551,1737,301,2,134
151,19.45639,17.7868,17.26978,16.91177,16.7288,5360,301,4,231
152,18.51963,17.66729,17.23471,16.8343,16.72309,2379,301,5,165
153,16.77123,15.06422,14.16521,13.64839,13.21886,4670,301,1,284
154,19.2803,17.58006,16.72878,16.24854,15.8611,2826,301,6,282
155,19.19132,17.35949,16.62746,16.14776,15.76694,2826,301,5,240
156,18.80189,16.89,16.08207,15.70914,15.38713,7908,301,4,73
157,18.15252,16.89854,16.62251,16.51731,16.50556,3225,301,2,272
158,19.54585,19.13423,18.69053,18.58027,18.50219,4670,301,2,112
159,19.24022,18.20379,17.73935,17.5409,17.44567,1739,301,3,178
160,18.41702,16.7147,15.78282,15.31803,14.99333,3180,301,6,61
161,19.45373,17.43723,16.72184,16.47695,16.37228,752,301,2,279
162,19.05939,16.65109,15.70719,15.42233,15.26646,3894,301,4,120
163,19.39427,17.03021,15.97314,15.55112,15.31939,6162,301,6,270
164,19.39431,17.77345,17.3657,17.2616,17.24892,2247,301,2,83
165,18.2684,17.19684,16.82513,16.68876,16.51998,4504,301,1,90
166,19.01679,17.7093,17.13019,16.77842,16.58591,5326,301,4,266
167,19.08401,18.09717,17.74854,17.61516,17.58183,2076,301,4,111
168,19.3818,17.51175,16.68089,16.27537,15.95184,4674,301,3,254
169,19.15569,17.53899,16.69692,16.27317,15.96978,2830,301,1,405
170,18.05988,17.77368,18.19294,18.47052,18.73375,3918,301,2,350
171,19.05933,18.8951,18.8858,18.71781,18.74259,5194,301,4,287
172,19.46921,19.1012,19.04847,18.87166,18.96421,5322,301,4,101
173,18.23279,16.6729,15.90696,15.49188,15.19088,1458,301,4,668
174,18.9604,17.46845,16.87489,16.62494,16.51195,2243,301,2,368
175,18.97916,17.27306,16.35693,15.87157,15.49338,2243,301,2,150
176,18.32616,17.27254,16.91515,16.78752,16.75204,2986,301,3,206
177,18.2259,17.06761,16.4308,16.10143,15.85293,745,301,4,601
178,17.96185,16.40902,15.8553,15.63213,15.55084,1412,301,5,139
179,17.38229,17.84537,18.34431,18.70698,19.04043,3909,301,5,114
180,18.94029,18.73711,18.57,18.47149,18.55184,2243,301,5,110
181,19.33573,18.4232,18.07791,17.96174,17.89278,5308,301,4,215
182,18.26558,16.86797,16.23215,15.97699,15.85652,2243,301,3,292
183,19.29969,17.38645,16.25508,15.78606,15.36008,1737,301,1,65
184,19.06194,17.55923,16.90997,16.56105,16.34986,2826,301,1,232
185,19.3246,18.05979,17.19452,16.74163,16.44064,3705,301,3,198
186,17.79329,15.85824,15.13965,14.85966,14.73813,2963,301,3,95
187,18.63597,17.55515,17.11677,16.96757,16.89923,4858,301,1,485
188,19.57011,18.09528,17.26577,16.84473,16.53018,4678,301,6,82
189,18.91529,17.84387,17.51616,17.38905,17.36404,4829,301,1,170
190,19.08165,18.01633,17.61246,17.43584,17.3814,4682,301,2,219
191,17.66794,16.82769,16.46301,16.31833,16.16828,3841,301,6,135
192,19.57178,18.06288,17.43935,16.98378,16.73595,5194,301,2,805
193,19.49561,18.99089,18.83437,18.86602,18.71691,5598,301,4,149
194,19.29145,17.40659,16.44829,16.04669,15.6913,2830,301,5,224
195,17.52645,16.47414,16.05016,15.88574,15.83307,7708,301,6,36
196,19.53543,18.31775,17.61923,17.25533,17.03611,3893,301,1,102
197,18.40261,16.59266,15.73359,15.32933,15.01523,2728,301,4,484
198,17.63957,16.68636,16.4016,16.3206,16.28057,3630,301,3,68
199,18.61967,17.31681,16.77786,16.56972,16.46824,4207,301,5,226
200,18.5524,17.30019,17.47239,17.59072,17.67608,3958,301,6,112
201,19.40917,19.34855,19.1114,19.03221,19.08445,3909,301,5,212
202,16.97758,15.36516,14.54394,14.16123,13.94119,4874,301,2,982
203,18.8629,18.72822,18.38513,18.33156,18.45857,5312,301,6,146
204,19.09292,17.30251,16.48493,16.01351,15.66555,3804,301,5,178
205,18.73442,17.8235,17.47126,17.34382,17.2992,5112,301,5,226
206,17.9635,16.3659,15.70859,15.49082,15.29455,8095,301,6,318
207,17.98528,16.07809,15.1563,14.72518,14.35526,752,301,1,536
208,15.32899,11.47435,11.09069,10.95665,11.41484,3919,301,3,243
209,17.72346,16.54038,16.19397,16.00887,15.97975,2830,301,4,106
210,19.16296,18.20585,17.80336,17.67883,17.53759,8108,301,3,203
211,18.67773,17.83725,17.52406,17.38945,17.36837,5182,301,2,119
212,18.00387,16.76889,16.24547,16.01865,15.88198,5061,301,4,169
213,18.96908,18.79742,18.76983,18.71286,18.44698,3704,301,6,134
214,18.47051,18.32739,18.13917,18.12484,18.00062,3716,301,1,24
215,19.21621,18.03907,17.52748,17.30095,17.23563,5935,301,6,268
216,18.95252,17.66166,16.98177,16.66817,16.45777,3910,301,3,200
217,15.04388,14.15081,13.60322,13.36142,13.0992,2987,301,3,107
218,18.95929,17.36836,16.57158,16.17656,15.91459,2986,301,4,112
219,18.51118,17.37768,16.93216,16.74658,16.60305,2126,301,5,209
220,18.24414,17.05343,16.5578,16.18253,16.02859,2830,301,4,401
221,18.51206,16.47924,15.52917,15.05038,14.68975,4674,301,3,144
222,19.58818,17.67645,16.6349,16.12115,15.72116,3841,301,6,140
223,19.18135,17.84199,17.27287,17.06927,16.97174,5972,301,1,236
224,19.27911,17.7176,16.92005,16.40891,16.12248,5972,301,3,110
225,18.12492,17.13936,16.60244,16.26055,16.05544,4674,301,2,91
226,18.00814,17.0507,16.75648,16.63001,16.61265,2247,301,1,157
227,19.29294,18.13898,17.59115,17.25298,17.03034,2986,301,2,280
228,19.53919,17.5999,16.65511,16.19556,15.85349,7908,301,6,89
229,19.48505,17.73244,16.81847,16.31524,15.92826,1904,301,4,179
230,16.26663,15.18087,14.90816,14.80886,14.81517,2825,301,1,203
231,18.84323,16.91792,15.96201,15.50341,15.17186,3965,301,5,151
232,19.07748,17.05979,16.12194,15.6889,15.35182,5326,301,1,164
233,18.66604,18.37306,18.65431,18.90726,19.11836,3630,301,5,51
234,16.65189,15.59051,15.18968,15.04878,14.98054,2391,301,2,237
235,18.88551,18.70335,18.65103,18.37221,18.36033,1350,301,1,387
236,18.68064,17.36022,16.7829,16.53548,16.41287,4674,301,1,122
237,18.393,17.18341,16.62774,16.2921,16.06115,2207,301,3,115
238,18.96671,18.3151,17.90906,17.55423,17.45621,2125,301,2,113
239,19.14348,17.73315,16.99087,16.57231,16.26123,2391,301,2,74
240,18.07802,17.07272,16.74589,16.62716,16.59216,7718,301,3,257
241,18.93859,17.0384,16.10723,15.67178,15.32992,5390,301,3,86
242,18.65063,17.74183,17.4774,17.38062,17.35387,5414,301,5,11
243,19.35157,18.11463,17.28706,16.86368,16.58235,3699,301,3,193
244,18.17509,16.45702,15.81289,15.57934,15.45998,4263,301,4,170
245,17.52208,16.63037,16.35366,16.26756,16.22751,3893,301,5,319
246,19.49234,17.70423,16.90856,16.54355,16.24374,2328,301,3,73
247,17.91188,17.98645,18.28084,18.49859,18.76541,2137,301,5,185
248,16.82907,15.13035,14.55059,14.40084,14.3603,2961,301,3,150
249,18.98962,17.68557,17.2758,17.20947,17.21739,5071,301,6,43
250,17.93089,16.40329,15.81409,15.59456,15.4831,6573,301,3,137
251,17.95429,16.99278,16.65522,16.50177,16.47058,7717,301,2,59
252,18.74455,17.62901,17.77549,17.90966,18.03094,2830,301,2,236
253,18.45923,16.99706,16.21864,15.77486,15.43434,3926,301,2,118
254,15.64554,11.63607,12.85759,9.853369,10.10728,5181,301,3,32
255,19.35962,18.15122,17.72197,17.45858,17.34092,4679,301,4,78
256,19.12453,18.09569,17.70158,17.50598,17.3808,6782,301,6,54
257,19.42687,19.33612,19.31787,19.04081,18.99557,7778,301,4,487
258,18.1962,16.48726,15.70818,15.33646,15.02975,4674,301,2,33
259,19.58952,18.47844,18.06064,17.92067,17.87783,3910,301,5,148
260,19.53505,17.76896,16.9008,16.45996,16.23577,7885,301,1,116
261,19.55288,18.74596,18.47898,18.38195,18.2941,2826,301,3,305
262,18.37669,17.24918,16.85709,16.61979,16.42954,4649,301,3,189
263,19.59173,17.8571,17.00273,16.41604,16.12181,2248,301,2,204
264,18.81114,17.9083,17.66149,17.57874,17.58401,3838,301,4,16
265,19.40263,18.08387,17.52718,17.30613,17.17651,3647,301,3,117
266,19.49488,18.41742,18.58294,18.7746,18.89294,752,301,2,545
267,19.08282,17.23879,16.32359,15.93456,15.59674,2247,301,2,265
268,19.32113,17.42314,16.54123,16.08125,15.71424,2989,301,5,104
269,18.85376,17.63624,17.09915,16.77308,16.58518,2247,301,3,162
270,18.92476,17.67924,17.13077,16.8622,16.64367,5314,301,3,138
271,19.54077,18.51526,18.17482,18.06815,17.98085,1458,301,3,689
272,17.99411,16.71979,16.032,15.6306,15.36456,1231,301,3,187
273,18.81708,17.04975,16.33242,16.02399,15.86276,8108,301,6,163
274,19.04296,17.30435,16.54561,16.26069,16.12488,1045,301,3,137
275,18.88828,18.80481,18.70199,18.39441,18.26341,5598,301,2,46
276,19.20374,18.88104,18.75772,18.74526,18.66298,2964,301,4,235
277,19.56236,18.42126,17.84223,17.48442,17.27673,3538,301,2,227
278,19.24703,17.33911,16.40351,15.93229,15.55368,4674,301,3,147
279,19.06073,17.72532,17.02075,16.65676,16.39779,1231,301,4,192
280,18.4997,18.08992,17.78557,17.70012,17.65248,3893,301,2,149
281,19.5884,18.38839,17.80691,17.44468,17.21685,4874,301,2,619
282,19.1539,18.516,18.43614,18.09175,18.22559,4263,301,5,282
283,19.17007,17.85613,17.07558,16.65981,16.42389,3631,301,5,225
284,18.33728,17.06988,17.12519,17.22264,17.32668,5060,301,2,139
285,18.0745,17.93864,18.29241,18.59893,18.88843,1740,301,3,66
286,18.85021,16.80489,15.72204,15.11727,14.65466,1035,301,6,66
287,19.11725,17.75892,17.17883,16.82673,16.60341,3805,301,3,59
288,18.02494,16.11155,15.234,14.82298,14.50939,2986,301,6,280
289,19.06272,17.91481,17.44829,17.24308,17.15891,2304,301,2,301
290,18.81882,17.51085,16.93022,16.57152,16.32262,3926,301,4,104
291,19.57427,17.60689,16.83553,16.51708,16.23535,3650,301,6,60
292,18.89363,17.57174,17.07826,16.83308,16.69297,3530,301,3,72
293,16.80891,15.28134,14.70231,14.46422,14.34171,752,301,2,311
294,18.43274,17.54551,17.22471,16.93254,16.83829,4670,301,1,30
295,19.54735,17.41553,16.4293,15.99981,15.64872,3704,301,2,37
296,18.99763,18.0331,17.7931,17.69526,17.65718,2243,301,2,104
297,19.26536,17.89143,17.21806,16.81139,16.53068,5087,301,6,20
298,19.20327,17.97357,17.3393,16.88599,16.6339,4674,301,3,198
299,18.8942,18.03397,17.75897,17.66418,17.66322,5326,301,4,92
300,18.07001,17.10857,16.68103,16.49971,16.44489,4674,301,3,122
301,17.25578,15.96742,15.47127,15.27971,15.26555,5182,301,2,47
302,18.49895,17.27602,16.68468,16.31085,16.08807,5972,301,1,187
303,19.30028,17.75961,17.01243,16.61646,16.29808,1737,301,3,11
304,18.68086,18.62524,18.56157,18.33035,18.3646,4576,301,5,654
305,19.57834,19.51793,19.24114,18.67271,18.71171,3704,301,4,56
306,18.27034,17.29543,17.03844,16.90528,16.95087,3647,301,4,52
307,17.51607,15.59291,14.69681,14.24224,13.85737,2391,301,2,189
308,16.91203,16.11752,15.80036,15.45297,15.30447,1336,301,1,63
309,19.46939,17.50518,16.40762,15.93928,15.5558,5972,301,3,106
310,16.66347,16.18773,16.30354,16.52646,16.60083,4576,301,1,504
311,17.9891,16.50299,15.9135,15.69117,15.59332,5934,301,6,108
312,17.8109,15.97147,15.13464,14.71469,14.40165,752,301,2,574
313,19.51407,18.25883,17.79372,17.56035,17.39408,1239,301,6,158
314,19.18553,17.89592,17.3674,17.09807,16.82708,3647,301,3,106
315,19.28983,17.98451,17.47598,17.27756,17.17316,6121,301,1,113
316,19.2694,18.36265,18.14294,18.0524,18.06619,3919,301,2,18
317,17.63245,16.18515,15.47209,15.12061,14.92242,2304,301,2,291
318,19.16394,16.88299,15.8572,15.46868,15.23266,4072,301,4,103
319,17.38624,16.14462,15.74529,15.60333,15.58108,4263,301,4,176
320,18.21458,17.3862,17.11432,16.96438,16.83493,3894,301,5,171
321,19.50775,18.12971,17.35177,16.92704,16.72585,3184,301,4,60
322,18.85933,17.93261,17.61663,17.48923,17.43889,2243,301,3,44
323,18.67335,17.5488,17.11267,16.95428,16.89716,4469,301,5,271
324,17.63848,16.95913,16.36028,15.91587,15.68959,3958,301,4,155
325,18.23924,17.12708,16.57806,16.24933,16.04777,4469,301,6,344
326,18.77032,18.47404,18.46076,18.24215,18.32772,3971,301,2,119
327,19.01015,17.8429,17.98535,18.12482,18.19763,4335,301,5,119
328,19.41035,18.48943,18.19414,18.08442,18.07435,4344,301,2,160
329,18.31772,17.54273,17.30731,16.98858,17.06191,1862,301,3,104
330,18.62121,17.58358,17.15978,17.0002,17.01471,4674,301,3,42
331,18.8611,16.92977,16.04346,15.62852,15.34813,3704,301,3,181
332,19.31285,19.24663,19.2597,19.02016,19.12671,2299,301,5,276
333,19.51765,19.36788,19.23352,19.33117,19.31575,2243,301,4,408
334,17.85861,16.53819,16.51299,16.58692,16.63542,4135,301,5,206
335,19.3825,17.76004,16.91384,16.44903,16.02152,5061,301,3,71
336,18.80563,17.64387,17.22198,16.9721,16.8182,3705,301,1,201
337,19.30019,18.21234,17.95609,17.84345,17.84475,3438,301,6,147
338,18.00195,17.08143,16.79715,16.68048,16.63399,1331,301,5,86
339,19.025,17.66349,16.85158,16.43586,16.13629,1458,301,4,698
340,18.04837,17.73319,17.72904,17.72978,17.61081,4843,301,4,14
341,18.99283,17.64228,17.1187,16.89853,16.82288,6162,301,2,241
342,19.45281,18.2461,17.76565,17.54466,17.47075,4263,301,1,340
343,18.63206,17.61984,17.3425,17.23835,17.22404,2126,301,3,99
344,19.48658,17.52078,16.60096,16.15854,15.81974,3630,301,2,148
345,18.73989,18.80624,19.09858,19.37193,19.9148,4294,301,1,166
346,19.19114,18.07404,17.66574,17.35611,17.24471,3893,301,2,244
347,19.13775,18.11344,17.65508,17.482,17.36844,4469,301,6,354
348,19.52134,18.11521,17.34441,16.9003,16.60996,752,301,2,293
349,17.04003,15.81568,15.74007,15.75963,15.82047,2391,301,1,242
350,19.43966,18.52056,18.20723,18.10276,18.0449,2335,301,1,37
351,18.76148,17.1522,16.39478,15.99733,15.75993,7908,301,1,123
352,17.94545,16.30593,15.68887,15.48567,15.40939,4858,301,3,470
353,16.69248,14.79936,13.92288,13.51427,13.19541,4674,301,2,39
354,16.44332,15.17795,15.17262,15.18368,15.2328,2076,301,6,36
355,17.89938,16.10321,15.43731,14.66929,14.35055,4334,301,5,198
356,19.28111,18.39078,18.15318,17.98682,17.87694,2248,301,3,223
357,19.27348,17.92734,17.26027,16.87404,16.68457,1231,301,1,19
358,17.81605,16.94719,16.6039,16.46629,16.42518,2662,301,1,191
359,17.52816,16.04313,15.67925,15.53481,15.48321,6585,301,2,100
360,18.22384,16.70169,16.0093,15.5888,15.29061,5322,301,4,107
361,,,,,,4010,301,2,178
362,18.66781,17.61694,17.28609,17.16097,17.6277,1331,301,4,165
363,18.88308,17.62916,17.19581,17.05433,17.00632,4187,301,2,103
364,17.68185,15.95394,15.1166,14.71841,14.40295,2333,301,2,46
365,18.31566,17.25136,16.89364,16.61422,16.46452,6122,301,2,12
366,19.22953,17.69756,16.84237,16.46874,16.12771,4674,301,3,208
367,19.36147,17.64602,16.8287,16.45212,16.15693,3893,301,5,160
368,19.33551,17.69752,16.84029,16.36387,16.03692,2190,301,1,123
369,19.50678,18.55359,18.15827,18.16259,17.97755,2986,301,3,117
370,18.9486,17.9031,17.39413,17.01921,16.87308,3699,301,6,206
371,19.55106,17.79677,16.83324,16.42728,16.05682,4512,301,5,204
372,18.58592,17.16124,16.56483,16.34466,16.25799,5416,301,5,138
373,19.45148,19.29453,19.03867,19.16784,19.33043,5322,301,2,120
374,17.92128,17.02067,16.743,16.6371,16.61056,4382,301,2,86
375,19.30571,17.2118,16.36648,16.08595,15.92806,3606,301,4,14
376,18.74675,17.57596,17.22236,16.99043,16.88573,4576,301,1,537
377,19.21593,18.37107,18.10287,17.96577,17.94543,3893,301,2,205
378,19.1969,19.11119,18.87728,18.90479,18.98002,3031,301,3,438
379,15.92846,15.75834,15.68789,15.79105,15.2599,756,301,1,315
380,18.52551,17.70141,17.61658,17.58619,17.65797,3813,301,4,117
381,19.56099,18.39991,17.91521,17.64824,17.49095,2820,301,5,141
382,19.34477,17.81317,17.01073,16.63262,16.35245,4674,301,3,248
383,17.69196,15.44354,14.55362,14.25915,14.08248,5416,301,3,135
384,19.09162,18.84097,18.78155,18.85518,18.71744,5313,301,5,33
385,19.12689,17.54285,16.76454,16.33705,16.12395,5080,301,5,234
386,19.23592,18.17209,17.86642,17.77558,17.74888,2335,301,3,68
387,17.14714,16.22767,15.91813,15.81385,15.78849,7781,301,4,117
388,17.65505,16.65001,16.11009,15.82886,15.60506,3813,301,4,268
389,19.4903,19.43995,19.40556,19.24727,19.03473,2831,301,1,69
390,19.11187,17.95912,17.35153,16.99694,16.78124,4670,301,1,109
