id,ra,dec,sky_zone,object_type
4944,159.9000865372,56.6993076772,D,GALAXY
5565,227.223661267,4.9163782041,E,QUASAR
757,241.4326220349,44.4866886697,G,STAR
3311,237.0040834213,57.2603564028,G,STAR
3288,167.5273332454,39.9398124231,A,STAR
13542,335.4020798617,38.3453527232,C,STAR
5164,146.2487440951,5.0267765765,B,QUASAR
15555,209.296883556,31.5921473361,I,GALAXY
7217,259.3731641005,-13.1487167929,E,STAR
10264,358.9785273339,14.9029486364,C,GALAXY
6284,194.8509169542,8.0824762432,F,GALAXY
12042,,20.6064093929,F,STAR
449,212.9977637592,38.464612022,I,QUASAR
7187,121.5204009099,35.7731830399,H,STAR
3583,168.2044766743,32.9552835101,D,GALAXY
15345,17.8497127931,16.940666844,J,GALAXY
17404,226.2829195285,30.6461065777,E,GALAXY
5799,152.5458980693,3.9525157822,B,STAR
13133,235.808137423,3.9783641917,E,GALAXY
6091,166.0802616827,32.5179761182,D,STAR
17494,193.1054632646,41.1697071915,A,GALAXY
7111,223.4537488309,22.6650257643,E,STAR
6806,162.7887155879,39.1414852112,D,GALAXY
10035,212.2430930521,38.6862107191,I,GALAXY
8305,180.444759205,5.2753908936,F,GALAXY
3524,177.2723630293,4.0086169885,F,GALAXY
7644,200.3744493863,5.4500096485,F,GALAXY
1666,263.1786255509,32.1855906863,G,STAR
2065,130.2803527828,30.1802003308,H,GALAXY
7878,324.5867436986,-6.6064411917,C,GALAXY
3597,18.9845037062,0.6006747372,J,STAR
7655,24.8712630922,-8.3094465655,J,STAR
17551,193.9342946541,47.4099062464,A,STAR
14836,123.8228615145,30.6403859986,H,QUASAR
5136,143.5406632984,53.5793989256,D,STAR
10664,245.264358989,30.0350568094,G,GALAXY
16087,173.6433795662,58.7763546866,A,GALAXY
8113,165.8385841881,6.9220446014,F,GALAXY
2638,139.5041629633,16.560563378,B,GALAXY
2303,221.5879808699,39.111111424,I,QUASAR
442,189.0658812368,50.1840305998,A,GALAXY
13172,0.5700430578,29.4994085614,J,STAR
6679,217.7428653725,24.5176074263,E,GALAXY
10274,338.042491962,29.6601586628,C,QUASAR
14762,125.013683428,5.8781389023,B,GALAXY
14553,170.2516331734,3.8335834621,F,QUASAR
15608,231.1243638065,2.0668864893,E,GALAXY
1978,121.7100890837,6.3762736027,B,STAR
17037,312.622592405,-6.397874194,C,GALAXY
10175,275.6454109488,77.4754157841,G,STAR
660,164.6921080964,14.418523611,F,QUASAR
4386,242.8442695804,-1.2316827167,E,GALAXY
17501,320.5601938687,0.0283400959,C,STAR
15835,216.309080171,60.699074169,I,GALAXY
4308,330.582818959,2.6159990939,C,GALAXY
13536,116.0065834779,65.1295347151,H,STAR
10061,64.0481015949,25.6872899469,J,STAR
5454,250.514062259,32.1857884855,G,GALAXY
12397,164.9724633555,7.115454834,F,QUASAR
6004,184.2741648617,67.3146468197,A,STAR
3684,209.0498086484,-9.7938116048,E,STAR
16427,351.031209272,15.9676368622,C,GALAXY
408,175.0051876867,33.8534916619,A,GALAXY
17220,220.9136004472,14.9755774894,E,STAR
5644,224.1713917833,17.0708977334,E,STAR
11892,163.6126774393,32.704131339,D,GALAXY
9532,137.3444416066,14.3104614728,B,GALAXY
14609,237.5985226219,43.728727555,G,GALAXY
3310,207.8323308995,58.9102066412,I,GALAXY
7136,197.3913045372,6.3807690529,F,GALAXY
3188,151.6713137245,46.0585253477,D,STAR
5098,196.2400314994,-1.2300649465,F,QUASAR
11242,320.0438542901,1.5094830614,C,QUASAR
5359,129.5072483261,30.254267061,H,GALAXY
7923,119.8059864111,-0.3814573609,B,STAR
13038,167.4733170542,57.676969405,A,QUASAR
11930,213.8864382267,23.6845750236,E,GALAXY
17929,247.0742462459,46.6055395894,G,STAR
8544,175.8117603177,-2.9897876729,F,GALAXY
5202,167.7836592694,38.7109043481,D,STAR
3252,0.8125852583,21.3218619681,J,STAR
6440,236.528674934,56.8497464792,G,STAR
16132,229.3955208044,58.5313217139,I,STAR
7033,22.571036287,40.4972632631,J,STAR
13918,,28.1657550507,A,STAR
5071,97.9289682261,27.8353793984,H,STAR
15234,172.7459554909,-8.6194509104,F,STAR
3074,221.1117810911,22.0072021415,E,GALAXY
1415,135.9175894285,25.5780184249,B,GALAXY
5211,161.0686776326,40.6663035039,D,STAR
14993,189.6705603101,34.6176090518,A,QUASAR
16863,,10.1867099057,F,GALAXY
803,182.9884030567,66.6964438847,A,GALAXY
13528,51.1519478214,40.6908062701,J,GALAXY
5296,161.7637725759,58.4706305204,A,GALAXY
11612,222.6609562643,42.2776193419,I,STAR
1516,333.4265967937,0.1438024032,C,GALAXY
17396,206.6096796352,18.5167740391,E,STAR
243,220.3373685021,41.3100470057,I,GALAXY
9609,140.8064176694,22.9785450135,B,STAR
17867,18.7759531959,-10.8932950155,J,STAR
1803,133.5137818015,47.1960581443,H,QUASAR
4578,153.0290794311,54.5902697542,D,STAR
15958,165.562414678,55.7568451309,A,GALAXY
6916,188.7879288111,-3.5970814847,F,GALAXY
14159,37.9685457005,-3.7465082244,J,QUASAR
6228,121.5212057972,7.6699238421,B,STAR
2473,228.2669463813,20.5231587324,E,GALAXY
11594,190.7105171794,5.8544698133,F,STAR
9695,11.2649471219,17.945574539,J,STAR
16845,209.8637487511,-1.1557945991,E,STAR
10188,211.0813175515,17.0176272068,E,GALAXY
16992,135.8792028739,22.9550335197,B,GALAXY
13902,49.7255659061,0.6930014175,J,STAR
2108,195.0889090937,48.903104716,A,GALAXY
14914,204.6118173777,41.7687865634,I,GALAXY
1553,149.1732758461,35.0311192193,D,QUASAR
13335,,50.86939699,I,GALAXY
1162,324.4476168488,10.4492317062,C,GALAXY
1384,156.9700856618,37.6683440025,D,STAR
1872,197.3466564419,0.2627456337,F,STAR
7243,229.679582845,41.9349948756,I,QUASAR
17363,334.8648183173,0.1380664198,C,STAR
2936,254.1562760838,40.2963468602,G,STAR
8958,152.3870990856,56.9684528172,D,GALAXY
3589,144.8286452889,31.8969337386,D,STAR
3556,211.0439708583,45.9566396578,I,STAR
3172,201.351851141,56.6232429373,I,GALAXY
4876,332.9513437471,0.0800263876,C,GALAXY
2326,132.935514107,3.3955559185,B,STAR
15285,188.1712072066,-1.1909699223,F,STAR
11484,169.4766363167,29.1803199838,D,GALAXY
10729,226.1509167394,11.5939062692,E,GALAXY
17299,185.7065263271,42.6878327799,A,GALAXY
6703,218.5985946699,30.1172008672,I,QUASAR
14577,157.9308275066,43.9165620306,D,GALAXY
4035,120.7670291382,18.4468585239,B,QUASAR
3675,148.6392711147,39.5107655929,D,GALAXY
3457,211.2984710094,30.8907453989,I,GALAXY
4280,161.0164421008,39.8548141044,D,GALAXY
17430,221.7905914573,25.4425278864,E,GALAXY
9326,145.9639226707,39.8874158357,D,QUASAR
14700,212.6061562373,20.0729766639,E,STAR
11934,184.8936919202,-3.6308743235,F,GALAXY
17390,182.5210253633,17.6251854628,F,GALAXY
1026,245.3762844916,22.0907549943,G,STAR
5989,232.440974767,28.8629969847,E,GALAXY
225,216.6450306566,23.2439413918,E,GALAXY
6453,189.1911768619,-2.3274509662,F,GALAXY
3729,145.0771870393,43.1283046282,D,STAR
2705,328.4898127338,-9.1807843532,C,GALAXY
16638,173.1807301208,40.8423267427,A,GALAXY
7131,209.9237382639,25.0127708449,I,GALAXY
8637,226.4427174575,49.0242362864,I,QUASAR
12115,215.2432311369,1.1247162227,E,STAR
15181,232.8701064003,58.5657182817,G,GALAXY
16227,146.7447605927,38.5518505206,D,GALAXY
8458,,28.100243287,J,STAR
12684,4.3868946794,17.2833659709,J,GALAXY
14746,98.1824806143,26.0328865884,H,STAR
12009,238.0705585849,46.9932321309,G,GALAXY
6037,169.6249257339,15.4755986858,F,STAR
15829,2.3365485629,-5.4014143509,J,STAR
9396,182.4096049616,56.5466279608,A,GALAXY
15534,244.9920238842,27.7746469484,G,QUASAR
4596,151.1602290447,37.0769084346,D,GALAXY
9637,30.5181519908,15.3092271703,J,GALAXY
3837,21.6708565096,38.6115925763,J,STAR
3850,22.0893168822,28.6954362621,J,GALAXY
8420,242.3486857333,33.3444717435,G,STAR
15855,148.1699489926,67.5889113383,D,STAR
17857,202.6109479063,16.6108948472,F,GALAXY
9860,0.8474532875,-4.3518776757,J,STAR
13411,224.625040645,-1.644583075,E,STAR
16983,191.3183541291,36.3343888964,A,GALAXY
16944,210.2588266725,14.8310560712,E,GALAXY
5919,,55.1656568712,I,GALAXY
9173,115.8769903625,19.6692641145,B,STAR
2631,130.6610416671,37.9490088741,H,STAR
6334,128.8539641512,9.6243964005,B,GALAXY
12507,30.1504578916,1.0942553541,J,GALAXY
1428,211.4385928112,25.3923295389,I,GALAXY
4465,2.3169369562,7.8516171421,J,QUASAR
913,181.774600083,3.6825278125,F,GALAXY
13106,194.8825842003,9.2840485901,F,STAR
245,213.5152530525,39.5276989413,I,STAR
752,0.7819336252,26.8523571091,J,QUASAR
5001,238.9584032645,32.634475426,G,GALAXY
723,155.7580960915,4.7997685289,B,GALAXY
11218,120.4537584309,54.6530313289,H,STAR
13391,191.5893756249,13.4776709452,F,STAR
904,241.4242157355,44.2333727063,G,GALAXY
11169,199.8964234051,51.6746987875,I,STAR
6335,,54.3297998086,I,QUASAR
14334,147.6486387798,34.4274794184,D,QUASAR
11912,271.7944002622,23.2899425521,G,STAR
389,149.7881203803,50.8192419214,D,QUASAR
12228,220.1540370576,3.4647007046,E,GALAXY
15735,231.7365836036,39.749046516,G,STAR
9526,112.8682017653,43.6617257947,H,GALAXY
15692,203.4599015166,48.4869161262,I,STAR
16208,178.4072880217,35.7765338542,A,GALAXY
15051,158.7860153268,56.544133777,D,GALAXY
5204,198.3410419325,58.7360427173,A,GALAXY
13901,348.0662406047,15.759792377,C,STAR
8751,243.0221363889,48.8184206555,G,GALAXY
17416,110.3257137773,-0.6752831399,B,STAR
4311,29.3923027044,9.1356381171,J,STAR
1294,157.5048598127,3.8017782316,B,GALAXY
4106,,22.6914221025,C,QUASAR
4961,238.1254935062,-0.6601981725,E,STAR
17205,212.4755194357,3.9698180354,E,GALAXY
11677,226.8444126651,20.8015284556,E,GALAXY
11873,257.9204894408,35.1557768192,G,GALAXY
3718,,59.3263031755,A,GALAXY
17549,2.0121844956,25.8093703775,J,QUASAR
9461,138.9404842705,83.3722105703,H,STAR
10174,14.6890165724,0.8963848248,J,STAR
13678,226.6880526199,27.5844322755,E,GALAXY
6325,151.4032271882,40.07755071,D,GALAXY
4546,181.790728754,42.559993791,A,QUASAR
5604,172.6950947142,56.4152948665,A,GALAXY
13183,187.8720028802,0.8818724545,F,STAR
8848,9.5439865074,22.0104551432,J,QUASAR
12551,175.8859788003,7.3782744549,F,GALAXY
7346,39.4050359025,26.4483429157,J,STAR
3717,247.1630826289,39.5528374253,G,GALAXY
1432,170.99136547,56.1855336314,A,GALAXY
2820,140.3247899243,32.2541124445,D,GALAXY
8923,135.1882051381,11.4360095458,B,STAR
14788,,9.3871180187,F,STAR
8628,244.0465226574,30.9654621415,G,STAR
7659,146.2736927572,35.3192347593,D,GALAXY
15586,121.295681844,18.5783558406,B,STAR
17875,162.5447167997,64.3208514563,A,QUASAR
971,117.6118735174,67.2598998911,H,STAR
3525,210.082237084,-0.7966423068,E,QUASAR
12152,235.7541944802,16.9874489645,E,GALAXY
15910,166.9936356983,41.4992394523,A,STAR
810,95.8105321744,64.0075767956,H,STAR
1586,160.1582571952,40.2006778589,D,GALAXY
7799,184.9328297001,58.0956034457,A,QUASAR
13761,156.7829691859,31.8172752124,D,STAR
2478,155.6133658474,18.0057383414,B,STAR
12005,231.3256714537,22.2621459368,E,STAR
842,117.4695732525,66.8218060904,H,STAR
10711,209.1532434017,65.8795928246,I,STAR
7960,133.0940213271,6.6543066494,B,STAR
13223,,-6.0334063294,J,GALAXY
3133,17.8663185348,29.7113502758,J,QUASAR
11578,182.2666529826,-3.6641939634,F,GALAXY
2902,23.9645692811,-10.5919890986,J,STAR
4627,136.4519366402,44.4902230805,D,QUASAR
1680,208.3549249092,40.7721702273,I,GALAXY
6973,185.7693609873,36.0427479872,A,STAR
3769,177.2622813911,8.5043545092,F,GALAXY
11321,216.0270818673,34.8650147021,I,GALAXY
4553,167.5882335683,-17.2655156624,F,STAR
1673,132.1511529428,9.6769318221,B,STAR
1245,177.4348114236,64.0590542564,A,GALAXY
3329,249.0483854668,19.876269835,G,STAR
15428,55.8821491535,-6.564256879,J,STAR
17335,233.9873919559,19.0482554911,E,GALAXY
6907,248.4786872885,11.7374736959,E,GALAXY
317,212.9935802963,58.9535343697,I,GALAXY
787,149.3980892996,5.3646621374,B,GALAXY
1904,114.2620572277,47.630313162,H,STAR
10074,137.3353014235,32.704840046,D,GALAXY
14819,224.3657418614,21.2166630189,E,GALAXY
14395,226.3437667945,35.8748992975,I,GALAXY
15221,186.0124742575,21.759632824,F,GALAXY
15067,150.4881761542,14.8637867332,B,STAR
14118,115.9922989297,30.3695901043,H,GALAXY
349,243.1709900796,2.8993346536,E,STAR
9229,222.344884079,21.7373632509,E,GALAXY
17973,171.1393747893,-1.8593224687,F,GALAXY
11069,123.1493742103,-6.7990017361,B,STAR
16169,239.9050879345,27.9202849619,G,GALAXY
3228,206.0882911162,6.6082912673,E,GALAXY
7919,173.0156610143,67.781867697,A,GALAXY
4539,249.5447907825,11.357321826,E,GALAXY
10486,,62.6814953839,A,GALAXY
6998,177.6405987875,29.59526789,A,STAR
15417,117.7436513628,49.2853505305,H,STAR
3088,219.0502360786,5.5757660954,E,GALAXY
14284,,33.4312913794,J,STAR
14014,233.9130924077,2.4269201063,E,GALAXY
10672,120.4643054062,10.2243804444,B,STAR
921,133.2669301896,11.794571834,B,GALAXY
12196,179.3726731597,27.1907776029,F,GALAXY
2671,331.3086890781,-0.9782288521,C,STAR
3538,177.2491545621,1.0829315208,F,STAR
1826,126.5625316077,58.3109132204,H,STAR
224,132.0806731902,10.4519378975,B,GALAXY
11509,171.253205851,-7.4084162811,F,STAR
4269,107.966520152,65.0458599924,H,STAR
2274,241.5333109069,39.5862690921,G,STAR
1029,212.4776737282,15.1767463653,E,GALAXY
12463,262.4316560379,32.4704854931,G,STAR
539,206.6583521468,27.8103356261,I,STAR
15521,144.9309319609,66.6368496527,D,GALAXY
288,160.5107323011,7.7732937668,B,GALAXY
8992,253.5517528161,21.5100835435,G,GALAXY
11358,254.4017380303,32.0543310885,G,GALAXY
12282,9.731180627,19.4846291794,J,GALAXY
11597,126.3857680898,31.0151518428,H,STAR
4521,34.2550790161,-1.1255062666,J,STAR
17584,128.5556963213,59.0504079056,H,QUASAR
12208,134.0305009761,56.5004664402,H,GALAXY
893,168.7255103628,64.4446704335,A,STAR
1792,333.3673260686,-2.6526173828,C,QUASAR
8461,214.1675486129,31.691403531,I,GALAXY
8270,226.2573972329,8.7094389747,E,GALAXY
4690,151.3460183063,35.7865099012,D,STAR
1573,227.1768314999,10.0574176515,E,GALAXY
10771,171.8365463519,59.9386627426,A,STAR
6958,182.3171911869,9.717665113,F,STAR
9505,163.5528247764,14.9597863859,F,QUASAR
15175,232.5509984549,17.98571336,E,GALAXY
13251,149.525367932,36.5326861921,D,STAR
13353,239.2247187722,14.1274924266,E,GALAXY
16269,353.508020446,9.1609719097,C,STAR
5793,0.6784271106,0.1898974705,J,GALAXY
2754,129.6436772657,58.0219519668,H,GALAXY
3789,235.6314985916,34.5326216959,G,GALAXY
1987,134.4205748095,4.6568517217,B,GALAXY
3447,125.1000490284,37.0679963521,H,STAR
15098,139.9374153878,0.4355950999,B,GALAXY
4009,149.0838974465,15.9935092674,B,GALAXY
13501,236.346273152,18.5580891414,E,GALAXY
10862,16.3297624869,-0.8616013654,J,STAR
10015,134.503165429,20.2291512775,B,GALAXY
2710,217.441998019,18.1754811212,E,GALAXY
613,19.8490491292,25.0348610941,J,STAR
17984,141.1234733911,1.2120345608,B,GALAXY
14702,335.4366226708,18.668962229,C,STAR
10320,200.1493191952,32.8236477824,I,QUASAR
5967,167.6092337176,58.4020750737,A,GALAXY
17807,1.0469593762,24.6392129426,J,STAR
14204,,16.9666750462,J,STAR
11424,124.5846546319,20.0128064736,B,QUASAR
12412,255.2870488171,39.9119532481,G,QUASAR
7941,216.8053844776,5.55376787,E,STAR
1271,218.9273729792,2.0053861553,E,STAR
6384,180.8058610777,-1.5186096123,F,GALAXY
11379,124.2588782852,29.6000151401,H,STAR
12759,171.0597933538,64.578165868,A,QUASAR
7429,178.7123068108,12.5636055139,F,STAR
10399,194.1813215718,27.0347577597,I,GALAXY
14028,154.8068366725,18.8155692114,B,QUASAR
14902,143.3681252341,54.1820620669,D,GALAXY
12,9.60523939,-10.8267990642,J,GALAXY
5274,7.0511859797,6.0053174003,J,QUASAR
12197,42.6349566884,0.899624917,J,GALAXY
16940,237.3442053632,36.2843284715,G,GALAXY
2281,213.697251789,45.892132327,I,GALAXY
1332,134.7425120739,14.6371113119,B,GALAXY
9974,157.1192770758,24.6007610987,D,STAR
9756,220.8234169981,-2.7539988803,E,GALAXY
1083,357.4821184213,30.4944852926,C,QUASAR
11846,241.676010567,48.4917074642,G,GALAXY
16059,202.3899421344,18.0736963055,F,GALAXY
15597,357.8968163678,38.5072304273,C,STAR
5706,48.2996625473,-7.0758072627,J,STAR
1628,223.2037713652,-1.1125210643,E,STAR
14599,162.457547454,32.9816337304,D,GALAXY
2235,243.8890572816,28.4525939519,G,STAR
15257,164.6827407812,13.9091710343,F,GALAXY
16739,,8.7102819077,F,STAR
8766,235.6766821511,23.4110431773,E,STAR
11498,37.2897993198,0.7400106383,J,GALAXY
3403,144.7294231602,50.6739302551,D,STAR
13395,180.9795114437,4.1944653378,F,GALAXY
9611,19.9461462546,38.5513718059,J,STAR
3755,9.2152194579,17.3194432274,J,STAR
12144,197.8616756301,-1.0578018259,F,STAR
17077,,46.4562267242,I,GALAXY
9763,173.1310184852,11.5641894962,F,GALAXY
9269,238.330882534,54.8958924141,G,GALAXY
3802,327.1670512544,4.3897352665,C,QUASAR
11944,185.0574838563,8.6857443557,F,GALAXY
13092,189.2133894544,-1.0217858902,F,STAR
8146,154.6892051012,39.2498370353,D,GALAXY
2412,221.3751742592,50.7836409471,I,GALAXY
14290,141.4597946016,38.5667430894,D,STAR
14601,19.7952463244,25.0270149842,J,STAR
6217,210.8665109095,53.5943066368,I,STAR
17170,240.418900761,24.962995316,G,GALAXY
17333,5.1348394989,-10.5707130528,J,QUASAR
11133,170.8353113134,-3.1307694301,F,GALAXY
16526,318.9362617316,11.0338672314,C,QUASAR
246,250.9227780179,37.4484566822,G,GALAXY
445,218.9313945956,44.9961343167,I,GALAXY
8529,183.0135571665,-3.5777037104,F,GALAXY
4698,82.5490060227,-0.6244830094,B,STAR
13399,189.3157735786,-0.715215377,F,STAR
8558,221.5273410923,21.5855398963,E,STAR
13096,176.4122365386,22.2032724372,F,GALAXY
747,213.7605131475,5.4447704289,E,GALAXY
7725,156.5048583907,53.9644013676,D,GALAXY
2561,9.9885336491,7.210394782,J,STAR
7747,235.8922898368,24.0767919521,E,GALAXY
4980,215.3208000784,0.4637930589,E,STAR
1291,205.7549101874,31.963164103,I,GALAXY
12012,341.9834030343,-0.8565216553,C,STAR
13930,241.7613644954,53.5102633346,G,GALAXY
9432,214.4853775396,24.0159056037,E,GALAXY
431,177.289018306,-2.3078769239,F,GALAXY
4877,249.3335565774,41.619210531,G,GALAXY
14735,230.8915988338,-0.3959259314,E,GALAXY
8190,356.7148669457,38.6007810439,C,STAR
13319,177.2910616907,9.8534769843,F,GALAXY
17485,47.0548231462,37.8349365485,J,STAR
13626,358.8745511751,37.1464904083,C,STAR
15407,170.5153299158,55.7422479576,A,GALAXY
8645,173.393496049,-2.2555142303,F,GALAXY
12413,205.188279011,3.2281885103,F,STAR
8539,46.2898376494,-6.7531945335,J,QUASAR
13696,129.5445559736,60.5157989988,H,GALAXY
15967,133.2784338178,13.9358431581,B,GALAXY
5008,241.5395699086,34.1142143432,G,GALAXY
10652,129.3503068587,19.6026876942,B,QUASAR
9472,215.7307071284,15.7954016729,E,GALAXY
17445,120.4971879382,51.6157641991,H,GALAXY
10694,258.5495495395,27.6427300173,G,GALAXY
3683,134.8609941646,36.1093493051,D,STAR
5560,194.5385828901,26.6640933494,I,GALAXY
15856,149.7622614641,37.0154890022,D,GALAXY
5662,139.9486220324,24.6029404857,B,GALAXY
9817,146.0397022142,36.0513926531,D,STAR
12111,132.9041415969,3.9369410966,B,STAR
9799,17.1861808615,17.4788274935,J,STAR
5997,126.4656109867,64.8545540519,H,STAR
4104,162.7408220356,46.6064217896,D,GALAXY
7517,,-9.0403239514,J,STAR
12889,213.2994829983,18.1120133345,E,GALAXY
6555,132.2461432065,14.8193039863,B,GALAXY
8549,209.7878474345,20.6098310835,E,GALAXY
14003,128.4255054142,-3.3504665452,B,STAR
11948,224.0541473638,3.0459718215,E,GALAXY
11993,187.3222820297,5.4872782785,F,STAR
1656,212.2209358561,61.1333600852,I,GALAXY
6658,200.0761133849,28.2518407383,I,QUASAR
7117,260.6269596923,65.2720539075,G,GALAXY
6781,47.8689958869,-8.3778708566,J,GALAXY
10350,155.7429904383,17.6709462375,B,STAR
14627,210.7943135356,18.0924482241,E,STAR
9101,219.229257587,0.2105895959,E,STAR
7552,158.5492645566,11.3494013317,B,GALAXY
15466,15.9403614753,-8.5878335314,J,GALAXY
15914,199.2331028038,52.7147952932,I,STAR
936,157.9949754755,56.8129469451,D,GALAXY
8055,237.9781421126,35.7795467688,G,GALAXY
12537,130.4239692011,53.6938091485,H,STAR
6532,162.9620262821,17.8381416729,F,GALAXY
523,214.0249303766,15.7153640697,E,GALAXY
486,221.2513426232,22.0577127294,E,GALAXY
12213,129.6783089112,9.7754224165,B,STAR
4522,174.9548570485,29.8108585013,A,GALAXY
15562,224.2728257784,22.3015294342,E,GALAXY
1413,239.1355585666,54.7266065773,G,QUASAR
16695,168.3331628007,4.6317994326,F,GALAXY
17002,172.4184092102,41.6082853494,A,GALAXY
2449,,37.0678471453,I,GALAXY
11839,209.4252404955,40.6585864955,I,QUASAR
13819,168.1472661828,50.0130027586,A,QUASAR
12244,334.1683532638,19.2960834969,C,QUASAR
4750,,16.5403815437,F,GALAXY
8476,148.0898297097,15.1198747152,B,STAR
15316,123.0587052712,24.9225089174,H,GALAXY
57,28.6704057718,13.1058519582,J,STAR
16728,188.0841836336,56.8228182164,A,GALAXY
8401,262.5718018131,44.5782955833,G,STAR
16762,168.0970279149,29.7993899309,D,STAR
8761,111.7487447192,41.0768032906,H,GALAXY
391,176.9394913563,41.6407023139,A,GALAXY
1924,231.9794766441,48.615141401,G,STAR
13048,207.3084467558,22.8319581007,I,GALAXY
10455,22.0773367878,7.3111684911,J,STAR
13620,204.3663345491,-3.3260587617,F,GALAXY
16504,211.916528242,24.9113690305,I,STAR
6245,176.6269411025,48.8226242696,A,STAR
8477,255.2195781279,40.4100740735,G,STAR
9185,322.4105058879,6.6833471336,C,GALAXY
14801,127.0573875776,28.2149412159,H,GALAXY
8743,182.1033746789,12.0498649897,F,STAR
6011,149.9876132975,43.2850657567,D,STAR
10168,186.9634812375,35.2976036631,A,GALAXY
9189,162.3083778761,27.6076647145,D,GALAXY
15819,224.1238413453,30.5870731735,I,GALAXY
17076,224.5423821861,1.217617992,E,GALAXY
256,212.875255813,0.7000084961,E,GALAXY
12939,159.5800997973,6.7473470849,B,GALAXY
8326,14.2178072943,20.3583620328,J,QUASAR
15686,17.284193727,-1.0489761964,J,STAR
5442,23.1377633095,24.0552609784,J,QUASAR
4619,151.8148821634,37.0623798268,D,STAR
9621,159.0660771074,6.1068219843,B,GALAXY
15891,202.7273507831,27.2587807223,I,GALAXY
1873,228.7573926292,51.8418695984,I,QUASAR
16608,209.2407292905,15.3617830402,E,GALAXY
10125,248.9215896178,36.2614115,G,STAR
15329,207.6416847328,33.7356877829,I,GALAXY
14061,131.2688178327,11.6352922636,B,GALAXY
8756,149.6750643768,0.7019526801,B,STAR
14568,,-0.0843940312,J,STAR
15754,40.3461611114,-7.3728583336,J,GALAXY
44,35.5398982961,-0.0489722567,J,GALAXY
8066,232.1334467861,35.782018706,G,GALAXY
3377,194.6608619583,35.3902784419,I,GALAXY
2256,243.8029738339,48.0492584871,G,GALAXY
2311,8.2364195029,-10.8122929066,J,STAR
12568,161.0319367342,7.4405423959,F,GALAXY
10249,205.514864867,9.7384607329,E,GALAXY
9327,142.0673632823,11.0770485748,B,GALAXY
